zone,mant,pop,er,empe1,empe2,str,st,stu,stur,shop,park,hospb,vp,vm,emp,cbd
223,19,15777,4613,676,1345,2617,3511,0,483,3169,128084,0,0.185,0.044,3889.23,0
224,19,12408,3485,480,898,2100,2448,0,408,184,0,0,0.155,0.05,1893.39,0
225,18,34430,9922,3917,11175,6234,10179,0,1131,2818,0,0,0.211,0.023,20638.71,0
226,19,13880,3877,465,1038,2608,1626,0,425,941,207398,0,0.234,0.052,1923.89,0
227,19,29570,8546,745,2299,5159,4918,0,906,998,32856,0,0.19,0.07,5920.94,0
228,2,22246,6845,2121,2121,2643,3463,0,2663,291,40750,0,0.453,0.011,3345.7,0
229,2,12275,3777,283,283,1463,2390,14964,1470,599,177935,0,0.348,0.035,1713.82,0
230,2,9,2,3775,4069,1,0,9745,1,0,0,963,0.014,0.038,4710.18,0
231,2,13629,3872,787,946,1521,343,0,1632,1414,19025,0,0.381,0.038,2348.45,0
232,2,19558,5636,2004,2323,2252,3594,5131,2341,561,53675,0,0.38,0.038,3041.73,0
233,2,13201,3929,3470,4028,1476,1782,87,1580,1206,11431,0,0.445,0.046,8646.34,0
234,2,31484,9628,2439,2993,3952,3820,0,3769,127,85094,0,0.432,0.038,6080,0
235,2,7080,1820,539,584,639,1947,0,848,10,121256,0,0.382,0.055,768.14,0
236,2,12139,3263,3197,4149,1186,2061,0,1453,332,123463,322,0.644,0.038,7810.57,0
237,2,4803,1295,3532,4184,386,650,0,575,5,88623,0,0.652,0.038,5500.64,0
238,2,7401,1927,6402,7451,498,1320,9680,886,466,147231,260,0.555,0.038,10789.9,0
239,2,8669,2275,5104,5851,712,3425,580,1038,27,29827,0,0.501,0.038,9797.58,0
240,2,15865,4242,6478,8040,1669,4672,4790,1899,1906,335745,292,0.564,0.017,11825.32,0
241,2,22623,6673,2333,2582,2747,2943,818,2708,565,457,0,0.464,0.017,4164.86,0
242,2,8165,2346,604,604,943,151,0,977,351,0,0,0.426,0.087,1507.35,0
243,2,12074,3373,415,489,1489,0,0,1445,770,5912,0,0.389,0.024,1255.85,0
244,2,20836,5869,594,747,2646,3333,0,2494,594,6933,0,0.423,0.028,1676.75,0
245,2,7410,2345,457,457,936,597,0,887,729,3597,0,0.396,0.034,457.33,0
